month,trip_count,temperature,temperature_change_since_prev_day
9,16992,26,-3
9,16826,24,-6
9,11205,23,-1
9,15202,23,-1
9,16182,22,-1
9,17759,21,-10
9,19525,21,-9
9,17639,21,-9
9,11625,19,-4
9,16469,19,-4
9,17314,19,-3
9,17593,21,0
9,20317,22,2
9,19678,22,1
9,11297,19,0
9,14648,19,0
9,15553,18,-1
9,16864,24,3
9,19678,24,2
9,20461,26,4
9,9654,18,-1
9,13018,17,-2
9,14158,17,-1
9,17219,26,2
9,20888,27,2
9,22508,26,0
9,9282,21,-2
9,12796,21,-2
9,13914,21,-2
9,16546,27,6
9,19340,26,4
9,17641,27,6
9,11326,22,2
9,15177,22,2
9,16478,22,2
9,17928,27,0
9,20854,28,2
9,19791,27,-0
9,11588,19,-3
9,15473,18,-4
9,16148,18,-4
9,17538,26,-2
9,20795,26,-2
9,20156,26,-1
9,11167,21,2
9,14704,20,2
9,15481,19,1
9,17058,23,-3
9,20508,23,-3
9,20372,23,-3
9,9858,14,-6
9,12715,14,-6
9,13160,14,-5
9,16606,22,-1
9,20161,23,0
9,21457,24,1
9,9509,22,2
9,12306,22,2
9,12861,22,2
9,17663,29,2
9,17893,28,0
9,16003,28,0
9,10877,21,-1
9,13861,21,-1
9,13685,20,-2
9,14286,24,-5
9,15181,26,-2
9,16118,25,-3
9,10468,18,-3
9,13083,17,-3
9,12991,18,-2
9,11873,26,1
9,12915,27,1
9,13637,27,2
9,10972,22,4
9,13954,22,5
9,14021,22,4
9,13311,17,-9
9,15875,16,-11
9,18736,18,-8
9,9172,13,-9
9,11500,12,-10
9,11990,12,-10
9,14507,16,-1
9,17293,17,1
9,19651,17,-2
9,7588,15,-1
9,10143,15,-1
9,10972,15,0
9,12805,23,1
9,13975,23,1
9,12682,22,1
9,9780,17,2
9,13310,17,2
9,12733,16,1
9,17418,19,-4
9,18786,19,-3
9,17166,19,-3
9,11717,13,-3
9,15389,13,-4
9,14707,12,-4
9,18970,19,0
9,21320,19,0
9,19840,21,1
9,11413,14,1
9,14851,13,0
9,14641,12,0
9,18829,19,-0
9,21486,19,-0
9,21477,19,-2
9,9725,13,-1
9,12530,12,-1
9,12716,12,0
9,18525,16,-3
9,21609,16,-3
9,23369,16,-3
10,10387,9,-6
10,13905,9,-6
10,13650,11,-4
10,19557,11,-4
10,21854,11,-3
10,19516,9,-3
10,12179,8,-1
10,16894,8,-2
10,17346,8,-3
10,18687,12,1
10,20367,12,1
10,16619,12,3
10,9154,13,5
10,14776,13,6
10,16218,13,5
10,20140,15,3
10,22701,15,3
10,19938,14,2
10,11237,13,0
10,14792,13,0
10,14971,12,-1
10,17477,22,7
10,18915,23,8
10,18951,23,8
10,9722,17,4
10,12788,16,3
10,12707,16,4
10,17540,24,3
10,20132,24,2
10,22075,23,0
10,10738,12,0
10,14811,12,0
10,14097,11,-1
10,18029,20,1
10,20450,21,1
10,18686,21,2
10,11622,15,3
10,15749,14,3
10,15366,14,3
10,18677,21,1
10,21119,20,-1
10,20935,19,-1
10,12029,17,2
10,16254,17,3
10,15863,17,3
10,22084,19,-2
10,24564,19,-1
10,22044,20,1
10,9927,12,-6
10,13126,12,-6
10,13598,12,-5
10,18559,18,-1
10,21860,19,-0
10,23529,19,-1
10,10011,14,0
10,13955,14,0
10,13652,13,0
10,16789,18,2
10,19290,19,2
10,19548,18,0
10,11593,11,-4
10,15977,11,-4
10,15089,10,-3
10,19566,13,-6
10,22398,13,-6
10,20313,13,-6
10,11905,7,-4
10,16155,6,-4
10,16311,6,-4
10,19779,12,-1
10,22420,12,-1
10,21690,12,-1
10,11698,8,1
10,15600,8,2
10,16526,7,1
10,19402,14,2
10,22375,14,2
10,22319,14,2
10,9833,9,2
10,13226,8,1
10,13087,8,2
10,18515,17,3
10,21475,16,2
10,23081,16,2
10,10443,13,0
10,14268,13,-0
10,13802,13,-1
